ID,lng,lat
"1085",139.885,36.075
"1086",139.895,35.735
"1087",139.895,35.745
"1088",139.895,35.755
"1089",139.895,35.765
"1090",139.895,35.775
"1091",139.895,35.785
"1092",139.895,35.795
"1093",139.895,35.805
"1094",139.895,35.815
"1095",139.895,35.825
"1096",139.895,35.835
"1097",139.895,35.845
"1098",139.895,35.855
"1099",139.895,35.865
"1100",139.895,35.875
"1101",139.895,35.885
"1102",139.895,35.895
"1103",139.895,35.905
"1104",139.895,35.915
"1105",139.895,35.925
"1106",139.895,35.935
"1107",139.895,35.945
"1108",139.895,35.955
"1109",139.895,35.965
"1110",139.895,35.975
"1111",139.895,35.985
"1112",139.895,35.995
"1113",139.895,36.005
"1114",139.895,36.015
"1115",139.895,36.025
"1116",139.895,36.035
"1117",139.895,36.045
"1118",139.895,36.055
"1119",139.895,36.065
"1120",139.895,36.075
"1121",139.905,35.735
"1122",139.905,35.745
"1123",139.905,35.755
"1124",139.905,35.765
"1125",139.905,35.775
"1126",139.905,35.785
"1127",139.905,35.795
"1128",139.905,35.805
"1129",139.905,35.815
"1130",139.905,35.825
"1131",139.905,35.835
"1132",139.905,35.845
"1133",139.905,35.855
"1134",139.905,35.865
"1135",139.905,35.875
"1136",139.905,35.885
"1137",139.905,35.895
"1138",139.905,35.905
"1139",139.905,35.915
"1140",139.905,35.925
"1141",139.905,35.935
"1142",139.905,35.945
"1143",139.905,35.955
"1144",139.905,35.965
"1145",139.905,35.975
"1146",139.905,35.985
"1147",139.905,35.995
"1148",139.905,36.005
"1149",139.905,36.015
"1150",139.905,36.025
"1151",139.905,36.035
"1152",139.905,36.045
"1153",139.905,36.055
"1154",139.905,36.065
"1155",139.905,36.075
"1156",139.915,35.735
"1157",139.915,35.745
"1158",139.915,35.755
"1159",139.915,35.765
"1160",139.915,35.775
"1161",139.915,35.785
"1162",139.915,35.795
"1163",139.915,35.805
"1164",139.915,35.815
"1165",139.915,35.825
"1166",139.915,35.835
"1167",139.915,35.845
"1168",139.915,35.855
"1169",139.915,35.865
"1170",139.915,35.875
"1171",139.915,35.885
"1172",139.915,35.895
"1173",139.915,35.905
"1174",139.915,35.915
"1175",139.915,35.925
"1176",139.915,35.935
"1177",139.915,35.945
"1178",139.915,35.955
"1179",139.915,35.965
"1180",139.915,35.975
"1181",139.915,35.985
"1182",139.915,35.995
"1183",139.915,36.005
"1184",139.915,36.015
"1185",139.915,36.025
"1186",139.915,36.035
"1187",139.915,36.045
"1188",139.915,36.055
"1189",139.915,36.065
"1190",139.915,36.075
"1191",139.925,35.735
"1192",139.925,35.745
"1193",139.925,35.755
"1194",139.925,35.765
"1195",139.925,35.775
"1196",139.925,35.785
"1197",139.925,35.795
"1198",139.925,35.805
"1199",139.925,35.815
"1200",139.925,35.825
"1201",139.925,35.835
"1202",139.925,35.845
"1203",139.925,35.855
"1204",139.925,35.865
"1205",139.925,35.875
"1206",139.925,35.885
"1207",139.925,35.895
"1208",139.925,35.905
"1209",139.925,35.915
"1210",139.925,35.925
"1211",139.925,35.935
"1212",139.925,35.945
"1213",139.925,35.955
"1214",139.925,35.965
"1215",139.925,35.975
"1216",139.925,35.985
"1217",139.925,35.995
"1218",139.925,36.005
"1219",139.925,36.015
"1220",139.925,36.025
"1221",139.925,36.035
"1222",139.925,36.045
"1223",139.925,36.055
"1224",139.925,36.065
"1225",139.925,36.075
"1226",139.935,35.735
"1227",139.935,35.745
"1228",139.935,35.755
"1229",139.935,35.765
"1230",139.935,35.775
"1231",139.935,35.785
"1232",139.935,35.795
"1233",139.935,35.805
"1234",139.935,35.815
"1235",139.935,35.825
"1236",139.935,35.835
"1237",139.935,35.845
"1238",139.935,35.855
"1239",139.935,35.865
"1240",139.935,35.875
"1241",139.935,35.885
"1242",139.935,35.895
"1243",139.935,35.905
"1244",139.935,35.915
"1245",139.935,35.925
"1246",139.935,35.935
